location_id,short_name,lead_hours,value_old,value_new,absolute_difference,tolerance,within_tolerance
binh_dinh_grid_013,tp,180,19.602914333343506,19.60291576385498,1.430511474609375e-06,0.0001,True
binh_dinh_grid_014,tp,180,10.374648571014404,10.374648094177246,4.76837158203125e-07,0.0001,True
binh_dinh_grid_016,tp,180,19.425842761993408,19.425841331481934,1.430511474609375e-06,0.0001,True
binh_dinh_grid_010,10u,186,6.729504108428955,6.729551315307617,4.7206878662109375e-05,0.001,True
binh_dinh_grid_011,10u,186,6.253246784210205,6.253232955932617,1.3828277587890625e-05,0.001,True
binh_dinh_grid_013,10u,186,7.248669147491455,7.248594284057617,7.486343383789062e-05,0.001,True
binh_dinh_grid_014,10u,186,7.677990436553955,7.678037643432617,4.7206878662109375e-05,0.001,True
binh_dinh_grid_016,10u,186,5.352245807647705,5.352354049682617,0.00010824203491210938,0.001,True
binh_dinh_grid_010,10v,186,2.16184401512146,2.1618335247039795,1.049041748046875e-05,0.001,True
binh_dinh_grid_011,10v,186,3.28843092918396,3.2884204387664795,1.049041748046875e-05,0.001,True
binh_dinh_grid_013,10v,186,3.85514235496521,3.8550708293914795,7.152557373046875e-05,0.001,True
binh_dinh_grid_014,10v,186,2.59470534324646,2.5946948528289795,1.049041748046875e-05,0.001,True
binh_dinh_grid_016,10v,186,2.05808424949646,2.0580737590789795,1.049041748046875e-05,0.001,True
binh_dinh_grid_010,2d,186,296.7051696777344,296.7051086425781,6.103515625e-05,0.001,True
binh_dinh_grid_011,2d,186,297.2508850097656,297.2508850097656,0.0,0.001,True
binh_dinh_grid_013,2d,186,295.8771057128906,295.8771057128906,0.0,0.001,True
binh_dinh_grid_014,2d,186,296.7645568847656,296.7645568847656,0.0,0.001,True
binh_dinh_grid_016,2d,186,295.8259582519531,295.8259582519531,0.0,0.001,True
binh_dinh_grid_010,2t,186,298.62139892578125,298.6213073730469,9.1552734375e-05,0.001,True
binh_dinh_grid_011,2t,186,299.12359619140625,299.1236267089844,3.0517578125e-05,0.001,True
binh_dinh_grid_013,2t,186,297.43206787109375,297.4320983886719,3.0517578125e-05,0.001,True
binh_dinh_grid_014,2t,186,299.40521240234375,299.4051208496094,9.1552734375e-05,0.001,True
binh_dinh_grid_016,2t,186,297.30035400390625,297.3003845214844,3.0517578125e-05,0.001,True
binh_dinh_grid_010,sp,186,99614.8515625,99614.8203125,0.03125,0.2,True
binh_dinh_grid_011,sp,186,99530.2890625,99530.3203125,0.03125,0.2,True
binh_dinh_grid_013,sp,186,97422.4140625,97422.4453125,0.03125,0.2,True
binh_dinh_grid_014,sp,186,99670.1640625,99670.1953125,0.03125,0.2,True
binh_dinh_grid_016,sp,186,97313.0390625,97313.0703125,0.03125,0.2,True
binh_dinh_grid_010,tcc,186,100.0,100.0,0.0,0.005,True
binh_dinh_grid_011,tcc,186,100.0,100.0,0.0,0.005,True
binh_dinh_grid_013,tcc,186,99.99893379211426,99.99893379211426,0.0,0.005,True
binh_dinh_grid_014,tcc,186,99.9990406036377,99.9990406036377,0.0,0.005,True
binh_dinh_grid_016,tcc,186,99.96310043334961,99.96310043334961,0.0,0.005,True
binh_dinh_grid_010,ssr,186,100646760.0,100646760.0,0.0,2048.0,True
binh_dinh_grid_011,ssr,186,128780136.0,128780136.0,0.0,2048.0,True
binh_dinh_grid_013,ssr,186,104985448.0,104985448.0,0.0,2048.0,True
binh_dinh_grid_014,ssr,186,136503144.0,136503144.0,0.0,2048.0,True
binh_dinh_grid_016,ssr,186,112801640.0,112801640.0,0.0,2048.0,True
binh_dinh_grid_010,tp,186,20.665472984313965,20.66547679901123,3.814697265625e-06,0.0001,True
binh_dinh_grid_011,tp,186,17.428643226623535,17.428645133972168,1.9073486328125e-06,0.0001,True
binh_dinh_grid_013,tp,186,23.515180587768555,23.515177726745605,2.86102294921875e-06,0.0001,True
binh_dinh_grid_014,tp,186,16.358659744262695,16.35866069793701,9.5367431640625e-07,0.0001,True
binh_dinh_grid_016,tp,186,23.793851852416992,23.793848991394043,2.86102294921875e-06,0.0001,True
binh_dinh_grid_010,10u,192,8.27213740348816,8.272120833396912,1.6570091247558594e-05,0.001,True
binh_dinh_grid_011,10u,192,4.615643262863159,4.615626692771912,1.6570091247558594e-05,0.001,True
binh_dinh_grid_013,10u,192,7.496624708175659,7.496608138084412,1.6570091247558594e-05,0.001,True
binh_dinh_grid_014,10u,192,4.919598340988159,4.919581770896912,1.6570091247558594e-05,0.001,True
binh_dinh_grid_016,10u,192,7.881756544113159,7.881739974021912,1.6570091247558594e-05,0.001,True
binh_dinh_grid_010,10v,192,2.0537235736846924,2.0537467300891876,2.3156404495239258e-05,0.001,True
binh_dinh_grid_011,10v,192,2.3433353900909424,2.3432975113391876,3.787875175476074e-05,0.001,True
binh_dinh_grid_013,10v,192,3.0305302143096924,3.0305533707141876,2.3156404495239258e-05,0.001,True
binh_dinh_grid_014,10v,192,1.3360722064971924,1.3360953629016876,2.3156404495239258e-05,0.001,True
binh_dinh_grid_016,10v,192,2.8670170307159424,2.8669791519641876,3.787875175476074e-05,0.001,True
binh_dinh_grid_010,2d,192,295.81585693359375,295.8158874511719,3.0517578125e-05,0.001,True
binh_dinh_grid_011,2d,192,296.4534606933594,296.4534606933594,0.0,0.001,True
binh_dinh_grid_013,2d,192,295.8375244140625,295.8374938964844,3.0517578125e-05,0.001,True
binh_dinh_grid_014,2d,192,296.30718994140625,296.3072204589844,3.0517578125e-05,0.001,True
binh_dinh_grid_016,2d,192,295.729248046875,295.7292175292969,3.0517578125e-05,0.001,True
binh_dinh_grid_010,2t,192,300.8096008300781,300.8097229003906,0.0001220703125,0.001,True
binh_dinh_grid_011,2t,192,301.1734924316406,301.1734924316406,0.0,0.001,True
binh_dinh_grid_013,2t,192,297.8387756347656,297.8387756347656,0.0,0.001,True
binh_dinh_grid_014,2t,192,300.7541809082031,300.7540588378906,0.0001220703125,0.001,True
