run_time,valid_time,lead_hours,short_name,step_type,units,grid_type,grid_N,grid_lat,grid_lon,distance_km,temperature_k,temperature_c
2026-08-01,2026-08-04 06:00:00,78,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,306.9181823730469,33.7681823730469
2026-08-01,2026-08-04 12:00:00,84,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,303.4303894042969,30.280389404296898
2026-08-01,2026-08-04 18:00:00,90,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,300.2117919921875,27.061791992187523
2026-08-01,2026-08-05 00:00:00,96,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.3667297363281,28.216729736328148
2026-08-01,2026-08-05 06:00:00,102,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,305.6926727294922,32.54267272949221
2026-08-01,2026-08-05 12:00:00,108,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,303.2056884765625,30.055688476562523
2026-08-01,2026-08-05 18:00:00,114,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.4054260253906,28.255426025390648
2026-08-01,2026-08-06 00:00:00,120,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.7789306640625,28.628930664062523
2026-08-01,2026-08-06 06:00:00,126,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,305.4333801269531,32.28338012695315
2026-08-01,2026-08-06 12:00:00,132,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,302.7754669189453,29.625466918945335
2026-08-01,2026-08-06 18:00:00,138,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.49998474121094,28.34998474121096
2026-08-01,2026-08-07 00:00:00,144,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.7217559814453,28.571755981445335
2026-08-01,2026-08-07 06:00:00,150,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,305.2056884765625,32.05568847656252
2026-08-01,2026-08-07 12:00:00,156,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,302.4063720703125,29.256372070312523
2026-08-01,2026-08-07 18:00:00,162,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.62847900390625,28.478479003906273
2026-08-01,2026-08-08 00:00:00,168,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,301.6653289794922,28.51532897949221
2026-08-01,2026-08-08 06:00:00,174,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,303.13743591308594,29.98743591308596
2026-08-01,2026-08-08 12:00:00,180,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,300.6775360107422,27.52753601074221
2026-08-01,2026-08-08 18:00:00,186,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,299.4290313720703,26.279031372070335
2026-08-01,2026-08-09 00:00:00,192,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,300.52447509765625,27.374475097656273
2026-08-01,2026-08-09 06:00:00,198,2t,instant,K,reduced_gg,640,13.70558269111348,109.25045703839122,8.899839258313467,302.2390899658203,29.089089965820335
